ip (hidden),IsHoneypot_new,IsCloud_old,modbusErrorRequestTime (ms),modbusReadRegister,isp_Shodan,org_Shodan,ISP_conclusion,OS_old,OS_accuracy,os_Shodan,tags_Shodan,OS_conclusion,OpenPortNum,hopNum,IpwhoisNetsDescription,domains_Shodan,hostnames_Shodan,city,country,latitude,longitude,vulns
99,other,FALSE,106.539,25|2|88,,,telecom,Check Point UTM-1 Edge X firewall,91,,,proprietary,0,24,"S.C. Trend Network Serv S.R.L.
Comuna Zetea Harghita
Principala, 271
www.netzet.ro",,,,Romania,46,25,
100,ICS,FALSE,173.1500001,25|2|88,Vodafone Romania S.A.,Vodafone Romania S.A.,telecom,Linux 3.10,89,,"ics,self-signed",Linux,1,27,,,,Braşov,Romania,45.597,25.5525,
101,ICS,FALSE,183.585,25|2|88,Vodafone Romania S.A.,Vodafone Romania S.A.,telecom,Linux 3.10,89,,"ics,self-signed",Linux,1,22,,vodafone.ro,static-sub-mobile-46.97.205.207.vodafone.ro,Iași,Romania,47.1667,27.6,
102,unknown,FALSE,114.6919999,25|2|88,ServiHosting Networks S.L.,AIRE NETWORKS DEL MEDITERRANEO SL UNIPERSONAL,telecom,Linux 2.6.32,86,,,Linux,0,24,,,,Socovos,Spain,38.3323,-1.9848,
103,ICS,FALSE,88.704,25|2|88,INFORMATICA FUENTEALBILLA S.L.,INFORMATICA FUENTEALBILLA S.L.,ambiguous,,,,,unknown,0,24,,,,Iniesta,Spain,39.4333,-1.75,
104,other,FALSE,115.3230002,14336|17904|22528,,,unknown,Fortinet FortiGate 100D firewall,93,,,proprietary,3,22,COLUMBUS NETWORKS COLOMBIA,,,Medellín,Colombia,6.2518,-75.5636,
105,unknown,FALSE,123.0910001,0|65046|565,,,telecom,,,,,unknown,0,22,LNSTL658 Saint Lambert bloc 1,,,Nogent-sur-Seine,France,48.4833,3.5,
106,other,FALSE,81.45799994,25|2|88,,,telecom,Apple AirPort Extreme WAP,90,,,proprietary,2,30,"XS4ALL Internet BV
DSL customers (only)",,,,Netherlands,52.3824,4.8995,
107,other,FALSE,87.9519999,30|130|11769,EOLO S.p.A.,EOLO S.p.A.,telecom,MikroTik RouterOS 6.36,92,,ics,proprietary,0,24,,eolo.it,88-147-17-210.static.eolo.it,Milano,Italy,42.7833,12.6,
108,ICS,FALSE,80.59899998,25|2|88,Telstra Corporation Ltd,Telstra,telecom,,,,"ics,vpn",unknown,0,30,"Telstra
Level 12, 242 Exhibition St
Melbourne
VIC 3000",telstra.net,warrna40.lnk.telstra.net,Collingwood,Australia,-37.8,144.9833,
109,other,FALSE,69.49899983,25|13107|16565,TELUS Communications Inc.,TELUS Communications Inc.,telecom,"AXIS 205 Network Camera, Buffalo TeraStation NAS device, Linksys WAP54G WAP, or Sony SNC-RZ50N network camera",89,,ics,proprietary,1,30,TELUS Communications Inc.,,,,Canada,43.6319,-79.3716,
110,unknown,FALSE,132.8380001,0|0|0,,,unknown,,,,,unknown,1,22,Service Provider Corporation,,,,United States,37.751,-97.822,
111,ICS,FALSE,106.197,25|2|88,,,telecom,,,,,unknown,0,30,TURKCELL INTERNET,,,,Turkey,41.0214,28.9948,
112,other,FALSE,81.77200007,25|2|88,,,telecom,Cisco 2811 router (IOS 12.X),100,,,proprietary,2,30,KPN Internet Solutions,,,,Netherlands,52.3824,4.8995,
113,ICS,FALSE,93.99199986,25|2|88,,,telecom,,,,,unknown,0,24,"Tele2 Estonia
Mobile Services Fixed IP
                ####################################
                In case of improper use, please mail
                <abuse@swip.net>
                ####################################",,,Tallinn,Estonia,59.4339,24.7281,
114,unknown,FALSE,151.345,8|3|73,,,unknown,,,,,unknown,2,27,,,,,Spain,40.4172,-3.684,
115,ICS,FALSE,101.3329999,25|2|88,,,telecom,,,,,unknown,0,27,TURKCELL INTERNET,,,,Turkey,41.0214,28.9948,
116,ICS,FALSE,89.03799987,24|160|88,,,unknown,Rockwell Automation 1769-L23E-QB1 PLC,89,,,ICS,0,30,,,,Salamanca,Spain,40.9688,-5.6639,
117,ICS,FALSE,89.64899993,28|16724|112,,,unknown,Rockwell Automation 1769-L23E-QB1 PLC,89,,,ICS,0,30,,,,Salamanca,Spain,40.9688,-5.6639,
118,ICS,FALSE,80.09699988,25|2|88,,,unknown,Rockwell Automation 1769-L23E-QB1 PLC,97,,,ICS,1,30,"Autowasstraat de Walvis
ROOSENDAAL",,,Leiden,Netherlands,52.1609,4.4932,
119,unknown,FALSE,251.2130001,0|0|0,,,telecom,Linux 2.6.32,92,,,Linux,1,30,"PAT/NAT IP addresses POP 0204 for
Static allocation to Residential/SoHo customer with L3 devices",,,Genoa,Italy,44.4048,8.9444,
120,unknown,FALSE,85.08599997,25|6|88,,,unknown,Linux 3.6,89,,,Linux,0,30,,,,Kecskemét,Hungary,46.9,19.7833,
121,unknown,FALSE,151.273,0|0|0,,,unknown,,,,,unknown,2,24,,,,,Spain,40.4172,-3.684,
122,ICS,FALSE,66.74800015,25|2|88,Korea Telecom,Korea Telecom,telecom,,,,ics,unknown,0,24,Korea Telecom,,,,Republic of Korea,35.25,128.8667,
123,ICS,FALSE,116.8659999,25|2|88,Telecom Italia S.p.A.,SERVIZI COMUNALI ASSOCIATI SRL,telecom,,,,ics,unknown,0,22,SERVIZI COMUNALI ASSOCIATI SRL,telecomitalia.it,host-88-37-72-123.business.telecomitalia.it,Lecco,Italy,45.8559,9.397,
124,unknown,FALSE,94.95000005,8|178|0,,,unknown,,,,,unknown,0,22,,,,Boissano,Italy,44.1358,8.2216,
125,ICS,FALSE,104.8559999,25|2|88,RCS & RDS SA,RCS & RDS Business,telecom,,,,vpn,unknown,0,22,"RCS & RDS Business
City: Targu Mures",rdsnet.ro,static-5-2-179-21.rdsnet.ro,Târgu Mureş,Romania,46.55,24.5667,
126,ICS,FALSE,81.579,25|2|88,Videotron Telecom Ltee,Videotron Ltee,telecom,Linux 3.11 - 4.1,100,,ics,Linux,1,23,Videotron Ltee,videotron.ca,modemcable102.212-37-24.static.videotron.ca,Montreal,Canada,45.5115,-73.5683,
127,other,FALSE,114.174,25|2|41,Airsip Telecomunicaciones S.L.,Airsip Telecomunicaciones S.L.,telecom,Konica Minolta 1600f printer,87,,ics,proprietary,1,23,,airsip.net,185.151.209.10.static.airsip.net,Valencia,Spain,39.4667,-0.3667,
128,ICS,FALSE,70.19300008,25|2|88,Saskatchewan Telecommunications,SaskTel Wide Area Network Engineering Center,telecom,,,,ics,unknown,0,22,Saskatchewan Telecommunications,sasknet.sk.ca,69-11-102-200.yktn.static.sasknet.sk.ca,Buchanan,Canada,51.7,-102.75,
129,ICS,FALSE,70.26200008,25|2|88,Saskatchewan Telecommunications,SaskTel Wide Area Network Engineering Center,telecom,,,,ics,unknown,0,30,Saskatchewan Telecommunications,sasknet.sk.ca,71-17-141-168.msjw.static.sasknet.sk.ca,Moose Jaw,Canada,50.3895,-105.5578,
130,ICS,FALSE,62.9519999,25|2|88,,,telecom,,,,,unknown,0,23,Cox Communications Inc.,,,Wichita,United States,37.7014,-97.4405,
131,other,FALSE,71.16899991,25|2|2437,,,unknown,AirSpan ProST WiMAX access point,94,,,proprietary,1,23,Service Provider Corporation,,,,United States,37.751,-97.822,
132,other,FALSE,88.48199987,25|2|5891,,,unknown,Canon imageRUNNER C2380 or C2880i or Xerox Phaser 8860MFP printer,95,,,proprietary,1,23,Service Provider Corporation,,,,United States,37.751,-97.822,
133,other,FALSE,71.95900011,25|16389|88,,,unknown,AirSpan ProST WiMAX access point,94,,,proprietary,1,22,Service Provider Corporation,,,,United States,37.751,-97.822,
134,other,FALSE,70.43999982,25|68|88,,,unknown,Canon imageRUNNER C2380 or C2880i or Xerox Phaser 8860MFP printer,95,,,proprietary,1,22,Service Provider Corporation,,,,United States,37.751,-97.822,
135,other,FALSE,72.23900008,25|2|88,,,unknown,Canon imageRUNNER C2380 or C2880i or Xerox Phaser 8860MFP printer,95,,,proprietary,1,23,Service Provider Corporation,,,,United States,37.751,-97.822,
136,unknown,FALSE,110.556,25|2|88,,,unknown,Linux 2.6.20,94,,,Linux,0,30,Red de servicios IP,,,,Spain,40.4172,-3.684,
137,other,FALSE,115.747,24|2|88,,,telecom,ZyXEL ZyWALL 2 firewall or Prestige 660HW-61 ADSL router (ZyNOS 3.62),93,,,proprietary,3,22,LNAUB656 Aubervilliers Bloc 1,,,,France,48.8582,2.3387,
138,unknown,FALSE,107.3009999,12096|3|15560,,,telecom,,,,,unknown,0,22,LNPUT657 Puteaux Bloc 1,,,,France,48.8582,2.3387,
139,unknown,FALSE,103.4960001,0|0|0,,,telecom,,,,,unknown,0,22,LNAUB656 Aubervilliers,,,,France,48.8582,2.3387,
140,unknown,FALSE,105.2249999,1600|2|0,,,telecom,,,,,unknown,0,22,LNPUT658 Puteaux Bloc 2,,,,France,48.8582,2.3387,
141,unknown,FALSE,101.5929999,17360|49200|17120,,,telecom,,,,,unknown,0,23,LNPUT656 Puteaux Bloc 1,,,,France,48.8582,2.3387,
142,unknown,FALSE,113.0740001,12416|3|3,,,telecom,,,,,unknown,0,30,LNPUT658 Puteaux Bloc 2,,,Cachan,France,48.7963,2.3366,
143,unknown,FALSE,93.53299999,0|0|0,,,unknown,,,,,unknown,0,22,Rattviks kommun,,,Tyreso Strand,Sweden,59.2333,18.3,
144,other,FALSE,95.87000012,1196|0|0,,,unknown,Brother MFC-J6510DW printer,86,,,proprietary,1,30,,,,Rovigo,Italy,45.0698,11.7902,
145,other,FALSE,142.0800002,25|2|88,,,telecom,Fortinet FortiGate 100D firewall,88,,,proprietary,1,22,Com4 AS,,,Drammen,Norway,59.7425,10.2117,
146,ICS,FALSE,105.2409999,25|2|88,,,telecom,Linux 3.0 - 3.2,88,,,Linux,3,24,PPP Customers,,,,Italy,43.1479,12.1097,
147,ICS,FALSE,111.1849999,25|2|88,,,telecom,Linux 2.6.32,99,,,Linux,1,23,"Proxad / Free SAS
Static IP address (Freebox)
NCC#2007023917",,,Cornimont,France,47.96,6.8304,
148,ICS,FALSE,85.62100005,25|2|88,,,telecom,,,,,unknown,0,23,ADSL endpoints NAT conections only,,,,United Kingdom,51.4964,-0.1224,
149,unknown,FALSE,98.00499988,0|0|0,,,telecom,"Microsoft Windows Vista SP0 or SP1, Windows Server 2008 SP1, or Windows 7",100,,,Windows,1,21,LNMSO659 Montsouris Bloc 1,,,,France,48.8582,2.3387,
150,unknown,FALSE,98.67400002,11136|3|15760,,,telecom,Microsoft Windows Server 2008 or 2008 Beta 3,100,,,Windows,1,23,LNMSO658 Montsouris Bloc 1,,,Bordeaux,France,44.8404,-0.5805,
151,unknown,FALSE,97.88999987,11960|3|17596,,,telecom,,,,,unknown,0,22,LNMSO658 Montsouris Bloc 1,,,,France,48.8582,2.3387,
152,ICS,FALSE,100.6569998,25|2|88,,,telecom,,,,,unknown,0,22,LNAUB659 Aubervilliers bloc 1,,,,France,48.8582,2.3387,
153,unknown,FALSE,96.89199996,10744|3|12648,,,telecom,,,,,unknown,0,22,LNSTL657 Saint Lambert Bloc 1,,,,France,48.8582,2.3387,
154,unknown,FALSE,97.74899983,11032|3|16248,,,telecom,Microsoft Windows Server 2008 or 2008 Beta 3,97,,,Windows,1,22,LNSTL656 St Lambert bloc 1,,,Gagny,France,48.8833,2.5333,
155,unknown,FALSE,98.76200008,13680|3|15160,,,telecom,FreeBSD 5.5-RELEASE,85,,,Unix,1,22,LNPUT657 Puteaux Bloc 1,,,,France,48.8582,2.3387,
156,unknown,FALSE,98.60399985,10280|3|14480,,,telecom,,,,,unknown,0,30,LNPUT657 Puteaux Bloc 2,,,,France,48.8582,2.3387,
157,other,FALSE,95.96400023,11088|3|17396,,,telecom,Linksys BEFSR41 EtherFast router,89,,,proprietary,2,28,LNMSO656 Montsouris Bloc 1,,,,France,48.8582,2.3387,
158,unknown,FALSE,124.2680001,11240|3|18044,,,telecom,Microsoft Windows Server 2008 R2 SP1,100,,,Windows,1,26,LNAUB658 Aubervilliers Bloc 2,,,Paris,France,48.8628,2.3292,
159,unknown,FALSE,96.94499993,12720|3|12880,,,telecom,Microsoft Windows Server 2008 or 2008 Beta 3,100,,,Windows,1,30,LNAUB659 Aubervilliers bloc 2,,,Bagneaux-sur-Loing,France,48.2331,2.7067,
160,honeypot,FALSE,95.42600012,25|2|17664,,,cloud,VMware ESXi 5.0,91,,,ambiguous,1,22,LNAUB658 Aubervilliers Bloc 1,,,,France,48.8582,2.3387,
161,unknown,FALSE,102.5359998,9|0|88,,,telecom,Microsoft Windows XP SP3,89,,,Windows,2,30,LNAUB659 Aubervilliers bloc 2,,,La Courneuve,France,48.928,2.3963,
162,other,FALSE,94.82799983,25|2|88,,,telecom,Canon imageRUNNER C2380 or C2880i or Xerox Phaser 8860MFP printer,100,,,proprietary,0,25,BT-ADSL,,,Manchester,United Kingdom,53.4663,-2.1342,
163,other,FALSE,98.83899999,12816|3|15960,,,telecom,Microsoft Windows Server 2008 or 2008 Beta 3,100,,,Windows,1,30,LNAUB656 Aubervilliers,,,,France,48.8582,2.3387,
164,ICS,FALSE,85.1730001,25|2|88,,,telecom,Linux 2.4.20,100,,,Linux,2,30,KELETRONIC Ltd.,,,Oroszlany,Hungary,47.4833,18.3167,
165,ICS,FALSE,97.08299994,25|2|88,,,telecom,,,,,unknown,0,30,LNMSO657 Montsouris  FIXES,,,,France,48.8582,2.3387,
166,ICS,FALSE,88.02400017,25|2|88,,,unknown,,,,,unknown,2,21,"Infrastructure for Fastweb's main location
IP addresses for Small Business Customer, public subnet",,,Turin,Italy,45.05,7.6667,
167,unknown,FALSE,96.04400015,13208|3|15488,,,telecom,,,,,unknown,0,30,LNMSO655 Montsouris Bloc 2,,,,France,48.8582,2.3387,
168,unknown,FALSE,96.08099985,13224|3|16740,,,telecom,,,,,unknown,0,21,LNMSO655 Montsouris Bloc 2,,,,France,48.8582,2.3387,
169,ICS,FALSE,97.06099987,25|2|88,,,telecom,,,,,unknown,0,24,LNSTL656 St Lambert Bloc 2,,,,France,48.8582,2.3387,
170,unknown,FALSE,99.7329998,11496|3|19284,,,telecom,,,,,unknown,0,24,LNMSO655 Montsouris Bloc 2,,,,France,48.8582,2.3387,
171,other,FALSE,78.75399995,25|2|88,,,telecom,SiliconDust HDHomeRun set top box,86,,,proprietary,2,22,TELUS Communications Inc.,,,,Canada,43.6319,-79.3716,
172,unknown,FALSE,88.56900001,25|2|88,,,unknown,,,,,unknown,0,23,Rattviks kommun,,,Tyreso Strand,Sweden,59.2333,18.3,
173,unknown,FALSE,104.3800001,25|2|88,,,unknown,,,,,unknown,0,22,,,,Madrid,Spain,40.4167,-3.6838,
174,ICS,FALSE,88.54699993,25|2|88,,,telecom,,,,,unknown,0,30,LNMSO656 Montsouris Bloc 2,,,Puteaux,France,48.8834,2.2389,
175,unknown,FALSE,100.381,71|91|417,,,telecom,,,,,unknown,0,26,LNAUB658 Aubervilliers Bloc 2,,,,France,48.8582,2.3387,
176,other,FALSE,110.506,0|0|0,,,unknown,HP 4200 PSA (Print Server Appliance) model J4117A,100,,,proprietary,1,22,,,,"L""Isle-sur-la-Sorgue",France,43.8932,5.1135,
177,other,FALSE,77.76900005,25|2|88,,,telecom,Netopia 3386 ADSL router,87,,,proprietary,2,23,ADSL,,,Roscrea,Ireland,52.9511,-7.8017,
178,ICS,FALSE,97.23600006,25|2|88,,,telecom,Rockwell Automation 1769-L23E-QB1 PLC,89,,,ICS,1,22,LNMSO656 Montsouris Bloc 1,,,,France,48.8582,2.3387,
179,unknown,FALSE,96.31500006,0|0|0,,,telecom,Microsoft Windows XP SP3 or Small Business Server 2003,100,,,Windows,1,30,LNMSO657 Montsouris Bloc 1,,,,France,48.8582,2.3387,
180,other,FALSE,83.37899995,25|2|88,,,telecom,Linksys BEFSR41 EtherFast router,90,,,proprietary,2,21,ADSL,,,Roscrea,Ireland,52.9511,-7.8017,
181,ICS,FALSE,96.90799999,25|2|88,,,telecom,OpenBSD 4.0,90,,,Unix,0,22,LNMSO655 Montsouris Bloc 2,,,,France,48.8582,2.3387,
182,ICS,FALSE,76.13499999,25|2|88,,,telecom,,,,,unknown,0,23,"Telstra
Level 12, 242 Exhibition St
Melbourne
VIC 3000",,,Nambour,Australia,-26.6261,152.9594,
183,unknown,FALSE,100.823,25|8448|4384,,,telecom,,,,,unknown,2,26,LNMSO655 Montsouris Bloc 2,,,,France,48.8582,2.3387,
184,ICS,FALSE,68.82700014,25|2|88,,,telecom,,,,,unknown,0,26,"Comcast Cable Communications, LLC",,,Boynton Beach,United States,26.5282,-80.0843,
185,ICS,FALSE,70.98100019,25|2|88,,,telecom,,,,,unknown,0,26,Charter Communications Inc,,,Columbus,United States,39.9537,-82.9317,
186,other,FALSE,86.85000014,25|2|88,,,telecom,ZyXEL ZyWALL USG 20 or USG 50 firewall (ZyNOS 2.21),100,,,proprietary,0,22,LNNLY657 Neuilly Bloc 2,,,,France,48.8582,2.3387,
187,ICS,FALSE,87.6170001,25|2|88,,,telecom,Linux 3.11 - 4.1,100,,,Linux,1,22,LNAUB659 Aubervilliers Bloc 2,,,,France,48.8582,2.3387,
188,unknown,FALSE,68.05699992,9091|252|8,,,telecom,,,,,unknown,0,22,Charter Communications Inc,,,New York,United States,40.7391,-73.9826,
189,unknown,FALSE,95.76900005,12704|3|18332,,,unknown,,,,,unknown,0,22,Dynamic pools,,,Plouenan,France,48.6333,-4,
190,ICS,FALSE,66.98600006,25|2|88,,,telecom,,,,,unknown,0,30,"Comcast Cable Communications, LLC",,,Shreveport,United States,32.4663,-93.8142,
191,ICS,FALSE,85.83899999,25|2|88,,,telecom,,,,,unknown,0,23,TELUS Communications Inc.,,,,Canada,43.6319,-79.3716,
192,ICS,FALSE,68.76999998,25|2|88,,,telecom,,,,,unknown,0,23,"Comcast Cable Communications, LLC",,,,United States,37.751,-97.822,
193,other,FALSE,92.90399981,25|2|88,,,telecom,"D-Link DWL-624+ or DWL-2000AP, or TRENDnet TEW-432BRP WAP",89,,,proprietary,0,22,"Telecom Italia San Marino S.p.A. is the International
Telecomunications Company of the Republic of San Marino,
entrusted to carry all the International services
(Voice, Data and Added Value Services) of the Rupublic,
where TISM is located and registered.",,,Rimini,Italy,44.0633,12.5808,
194,ICS,FALSE,67.08599997,25|2|88,,,unknown,AVtech Room Alert 26W environmental monitor,98,,,ICS,1,20,"Com Net, Inc.",,,Lima,United States,40.7331,-84.1446,
195,other,FALSE,83.00899982,1|2|88,,,unknown,BlackBerry 10.3,88,,,proprietary,0,23,,,,Kilkenny,Ireland,52.6542,-7.2522,
196,unknown,FALSE,159.6409998,0|0|0,,,telecom,Linux 3.11 - 4.1,92,,,Linux,2,30,Com4 AS,,,Drammen,Norway,59.7425,10.2117,
197,ICS,FALSE,67.32200003,25|2|88,,,telecom,,,,,unknown,0,23,Midcontinent Communications,,,Grand Forks,United States,47.8719,-97.1503,
198,unknown,FALSE,89.17999983,6671|16|41813,,,telecom,,,,,unknown,0,22,"Eircom
IP network infrastructure (ADSL Pool Addresses)
Ireland
** Send spam/hack/virus complaints to abuse@eircom.net
** Complaints sent to the contacts listed below will not be
** acted on!",,,Balbriggan,Ireland,53.6128,-6.1819,
199,other,FALSE,144.529,25|2|88,,,telecom,"GlobespanVirata GS8100, Huawei MT880, or Solwise SAR 100 ADSL modem",92,,,proprietary,1,30,Bell Canada,,,Calgary,Canada,51.0833,-114.0833,
200,unknown,FALSE,93.66299987,3318|2|50,,,telecom,Microsoft Windows Server 2008 R2 SP1,100,,,Windows,0,21,LNNAUB656 Aubervilliers Bloc 2,,,,France,48.8582,2.3387,
201,ICS,FALSE,98.80699992,25|2|88,,,unknown,Rockwell Automation 1769-L23E-QB1 PLC,92,,,proprietary,1,27,,,,Fagnano Olona,Italy,45.6698,8.8599,
202,other,FALSE,86.80199981,25|2|88,,,edu,Avaya 4000- or 5000-series Ethernet Routing switch,100,,,proprietary,0,19,"CKPOLSL - Silesian University of Technology, Computer Centre",,,,Poland,52.2394,21.0362,
203,other,FALSE,116.302,0|0|0,,,telecom,Sony Bravia HX720-series TV,95,,,proprietary,2,21,"Orange Romania
Mobile Internet",,,,Romania,46,25,
204,unknown,FALSE,61.99600005,25|2|88,,,unknown,,,,,unknown,1,22,Service Provider Corporation,,,,United States,37.751,-97.822,
205,unknown,FALSE,65.49099994,0|0|0,,,unknown,,,,,unknown,0,24,Service Provider Corporation,,,Atlanta,United States,33.749,-84.388,
206,unknown,FALSE,62.04100013,25|2|88,,,unknown,,,,,unknown,1,22,Service Provider Corporation,,,,United States,37.751,-97.822,
207,unknown,FALSE,62.36400008,25|2|88,,,unknown,,,,,unknown,1,24,Service Provider Corporation,,,,United States,37.751,-97.822,
208,unknown,FALSE,62.81200004,58484|2|88,,,unknown,,,,,unknown,1,22,Service Provider Corporation,,,,United States,37.751,-97.822,
209,unknown,FALSE,79.08700013,25|2|88,,,unknown,,,,,unknown,1,22,Service Provider Corporation,,,,United States,37.751,-97.822,
210,unknown,FALSE,76.25900006,25|2|88,,,unknown,,,,,unknown,2,22,Service Provider Corporation,,,,United States,37.751,-97.822,
211,unknown,FALSE,62.40799999,25|2|88,,,unknown,,,,,unknown,0,23,Service Provider Corporation,,,,United States,37.751,-97.822,
212,unknown,FALSE,75.30799985,25|2|88,,,unknown,,,,,unknown,1,22,Service Provider Corporation,,,,United States,37.751,-97.822,
213,unknown,FALSE,62.25900006,25|2|88,,,unknown,,,,,unknown,1,22,Service Provider Corporation,,,,United States,37.751,-97.822,
214,unknown,FALSE,61.96099997,25|2|88,,,unknown,,,,,unknown,1,22,Service Provider Corporation,,,,United States,37.751,-97.822,
215,unknown,FALSE,82.27999997,25|2|88,,,unknown,,,,,unknown,1,22,Service Provider Corporation,,,,United States,37.751,-97.822,
216,unknown,FALSE,62.68000007,0|0|0,,,unknown,,,,,unknown,1,22,Service Provider Corporation,,,,United States,37.751,-97.822,
217,unknown,FALSE,66.63100004,25|2|88,,,unknown,,,,,unknown,1,29,Service Provider Corporation,,,,United States,37.751,-97.822,
218,unknown,FALSE,62.63300014,25|2|88,,,unknown,,,,,unknown,1,22,Service Provider Corporation,,,,United States,37.751,-97.822,
219,other,FALSE,62.05799985,9|0|0,,,unknown,AVM FRITZ!Box FON WLAN 7170 WAP,87,,,proprietary,1,22,Service Provider Corporation,,,,United States,37.751,-97.822,
220,unknown,FALSE,71.6099999,25|2|88,,,unknown,Linux 2.6.22 (Debian 4.0),87,,,Linux,1,23,Service Provider Corporation,,,,United States,37.751,-97.822,
221,unknown,FALSE,62.98399997,12|0|0,,,unknown,,,,,unknown,1,30,Service Provider Corporation,,,,United States,37.751,-97.822,
222,unknown,FALSE,62.20000005,25|2|88,,,unknown,,,,,unknown,1,22,Service Provider Corporation,,,,United States,37.751,-97.822,
223,unknown,FALSE,62.05999994,25|2|88,,,unknown,,,,,unknown,1,25,Service Provider Corporation,,,,United States,37.751,-97.822,
224,unknown,FALSE,63.50699997,4|0|0,,,unknown,,,,,unknown,1,23,Service Provider Corporation,,,,United States,37.751,-97.822,
225,unknown,FALSE,62.01199985,25|2|88,,,unknown,,,,,unknown,1,22,Service Provider Corporation,,,,United States,37.751,-97.822,
226,unknown,FALSE,62.11999989,25|2|88,,,unknown,,,,,unknown,1,21,Service Provider Corporation,,,,United States,37.751,-97.822,
227,unknown,FALSE,62.22200012,25|2|88,,,unknown,,,,,unknown,1,27,Service Provider Corporation,,,,United States,37.751,-97.822,
228,unknown,FALSE,62.2809999,25|2|88,,,unknown,,,,,unknown,1,23,Service Provider Corporation,,,,United States,37.751,-97.822,
229,unknown,FALSE,62.10000014,25|2|88,,,unknown,,,,,unknown,1,22,Service Provider Corporation,,,,United States,37.751,-97.822,
230,unknown,FALSE,81.79900002,8704|8770|4648,,,unknown,,,,,unknown,0,21,Service Provider Corporation,,,,United States,37.751,-97.822,
231,unknown,FALSE,60.45000005,25|2|88,,,unknown,,,,,unknown,1,22,Service Provider Corporation,,,,United States,37.751,-97.822,
232,unknown,FALSE,62.40700006,25|2|88,,,unknown,,,,,unknown,1,30,Service Provider Corporation,,,,United States,37.751,-97.822,
233,other,FALSE,89.1730001,0|0|0,,,telecom,MikroTik RouterOS 6.36,91,,,proprietary,0,22,TELEFNICA BRASIL S.A,,,Mogi das Cruzes,Brazil,-23.5258,-46.1923,
234,other,FALSE,66.73300004,25|2|88,,,telecom,Grandstream GXV3275 video phone,95,,,proprietary,0,23,"TOT Public Company Limited
Zone A, 6th Floor, Building 1
Swicthing and Network Interconnection System Standard Sector
TOT Public Company
89/2 Moo 3 Chaengwatthana Road",,,Songkhla,Thailand,7.1,100.4167,
235,other,FALSE,97.71000004,24|2|88,,,telecom,Grandstream GXV3275 video phone,88,,,proprietary,0,27,PROVEDOR REDESUL LTDA,,,Carlos Barbosa,Brazil,-29.3467,-51.5495,
236,ICS,FALSE,99.99699998,25|2|88,,,telecom,Linux 3.2 - 3.8,100,,,Linux,1,30,COMENERSOL-112/24,,,Novelda,Spain,38.3848,-0.7677,
237,ICS,FALSE,111.336,25|2|88,,,telecom,,,,,unknown,0,30,TURKCELL INTERNET,,,,Turkey,41.0214,28.9948,
238,ICS,FALSE,112.4760001,25|2|88,,,telecom,,,,,unknown,0,25,TURKCELL INTERNET,,,,Turkey,41.0214,28.9948,
239,unknown,FALSE,69.0999999,0|0|0,,,unknown,Linux 3.2 - 3.8,100,,,Linux,0,22,Zona Franca Astro Nicaragua,,,,Nicaragua,13,-85,
240,ICS,FALSE,108.0209999,25|2|88,,,telecom,,,,,unknown,0,22,TURKCELL INTERNET,,,,Turkey,41.0214,28.9948,
241,other,FALSE,108.3080001,25|2|88,,,telecom,Linksys WAP54G WAP,92,,,proprietary,0,27,TURKCELL INTERNET,,,,Turkey,41.0214,28.9948,
242,unknown,FALSE,107.4530001,0|0|0,,,unknown,Linux 3.8,87,,,Linux,2,23,Red de servicios IP,,,,Spain,40.4172,-3.684,
243,other,FALSE,151.5509999,0|0|0,,,unknown,MikroTik RouterOS 6.36,92,,,proprietary,0,24,,,,Cuneo,Italy,44.3907,7.5483,
244,unknown,FALSE,88.8360002,0|0|88,,,telecom,,,,,unknown,0,26,LNPUT657 Puteaux Bloc 1,,,,France,48.8582,2.3387,
245,unknown,FALSE,90.48200011,380|132|34,,,telecom,,,,,unknown,0,22,LNNAUB656 Aubervilliers Bloc 1,,,Sète,France,43.4028,3.6928,
246,unknown,FALSE,87.84200001,0|0|0,,,telecom,,,,,unknown,0,26,LNNAUB656 Aubervilliers Bloc 2,,,,France,48.8582,2.3387,
247,ICS,FALSE,176.375,1516|0|1514,,,telecom,Rockwell Automation 1769-L23E-QB1 PLC,92,,,ICS,0,30,LNPUT657 Puteaux Bloc 1,,,,France,48.8582,2.3387,
248,ICS,FALSE,87.35100007,25|2|88,,,telecom,,,,,unknown,0,26,LNNAUB656 Aubervilliers Bloc 1,,,,France,48.8582,2.3387,
249,unknown,FALSE,94.07999992,553|751|35,,,telecom,Linux 3.10 - 3.12,95,,,Linux,1,23,LNNAUB656 Aubervilliers Bloc 1,,,,France,48.8582,2.3387,
250,unknown,FALSE,96.0710001,0|126|88,,,telecom,,,,,unknown,0,22,LNNAUB656 Aubervilliers Bloc 2,,,,France,48.8582,2.3387,
251,ICS,FALSE,91.36899996,25|2|88,,,telecom,,,,,unknown,0,30,LNSTL658 Saint Lambert bloc 1,,,,France,48.8582,2.3387,
252,ICS,FALSE,88.33899999,25|2|88,,,telecom,Linux 3.2 - 3.8,100,,,Linux,1,22,LNSTL657 Saint Lambert Bloc 2,,,,France,48.8582,2.3387,
253,ICS,FALSE,91.99800015,25|2|88,,,telecom,,,,,unknown,0,22,LNPUT658 Puteaux Bloc 1,,,,France,48.8582,2.3387,
