ip (hidden),isHoneypot_new,IsCloud_old,IpwhoisNetsDescription,ISP_conclusion,OS_old,OS_accuracy,os_Shodan,tags_Shodan,OS_conclusion,OpenPortNum,hopNum,atgSUPER,atgUNLEAD,atgDIESEL,atgPREMIUM,atgTwoTimesCompare,domains_Shodan,hostnames_Shodan,isp_Shodan,org_Shodan,atgProduct1FirstTimeVolumeTC,atgProduct1SecondTimeVolumeTC,atgProduct1FirstTimeULLAGE,atgProduct1SecondTimeULLAGE,atgProduct2FirstTimeVolumeTC,atgProduct2SecondTimeVolumeTC,atgProduct2FirstTimeULLAGE,atgProduct2SecondTimeULLAGE,atgProduct3FirstTimeVolumeTC,atgProduct3SecondTimeVolumeTC,atgProduct3FirstTimeULLAGE,atgProduct3SecondTimeULLAGE,atgProduct4FirstTimeVolumeTC,atgProduct4SecondTimeVolumeTC,atgProduct4FirstTimeULLAGE,atgProduct4SecondTimeULLAGE,city,country,latitude,longitude,vulns_Shodan
115,honeypot,TRUE,"DigitalOcean, LLC",cloud,Linux 2.6.32,96,,cloud,Linux,0,23,1,1,1,0,FALSE,,,"DigitalOcean, LLC","DigitalOcean, LLC",8491,2125,9686,6239,4926,3214,7170,7006,4316,2605,3789,9708,6636,8265,3789,9708,,United States,37.751,-97.822,
116,honeypot,TRUE,Amazon Technologies Inc.,cloud,,,,"self-signed,cloud",unknown,0,30,1,1,1,0,FALSE,amazonaws.com,ec2-18-140-50-78.ap-southeast-1.compute.amazonaws.com,"Amazon.com, Inc.",Amazon Technologies Inc.,3855,6457,3606,8847,8131,7603,7024,4626,5690,1055,3878,8323,6393,4889,3878,8323,,United States,37.751,-97.822,
117,honeypot,TRUE,"DigitalOcean, LLC",cloud,Linux 2.6.32,96,Ubuntu,cloud,Linux,0,30,1,1,1,0,FALSE,,,"DigitalOcean, LLC","DigitalOcean, LLC",2604,8484,9564,9921,2677,2467,8291,8208,1544,4021,8569,4872,4180,4408,8569,4872,,United States,37.751,-97.822,
118,honeypot,TRUE,Amazon Technologies Inc.,cloud,,,,,unknown,0,30,1,1,1,0,FALSE,,,,,2570,5955,6225,4567,7283,8865,6953,3395,1398,2060,7972,7529,4276,2285,7972,7529,Montreal,Canada,45.5,-73.5833,
119,honeypot,TRUE,Amazon Technologies Inc.,cloud,,,,cloud,unknown,0,30,1,1,1,0,FALSE,amazonaws.com,ec2-3-12-74-149.us-east-2.compute.amazonaws.com,"Amazon.com, Inc.",Amazon Technologies Inc.,6082,2901,4328,6390,6519,7239,6340,6644,8014,3777,3384,8890,3549,3154,3384,8890,Seattle,United States,47.6344,-122.3422,"CVE-2018-20685,CVE-2017-15906,CVE-2021-36368,CVE-2020-14145,CVE-2018-15473,CVE-2020-15778,CVE-2021-41617,CVE-2023-28531,CVE-2018-15919,CVE-2016-20012,CVE-2019-6110,CVE-2019-6111,CVE-2019-6109"
120,honeypot,TRUE,Amazon Technologies Inc.,cloud,,,,"honeypot,cloud",unknown,1,30,1,1,1,0,FALSE,amazonaws.com,ec2-52-78-18-96.ap-northeast-2.compute.amazonaws.com,"Amazon.com, Inc.",AWS Asia Pacific (Seoul) Region,5569,5515,6222,5437,6842,5634,3880,4409,1941,8544,4376,4619,8386,6121,4376,4619,Incheon,Republic of Korea,37.4536,126.7317,
121,honeypot,TRUE,"Choopa, LLC",VPS,Linux 2.6.32,96,,"honeypot,self-signed,cloud,database",Linux,7,21,1,1,1,0,FALSE,vultrusercontent.com,45.32.240.80.vultrusercontent.com,"The Constant Company, LLC","Vultr Holdings, LLC",5634,6371,8372,8693,3666,6961,3218,7309,4259,5819,7142,7386,7643,2571,7142,7386,Sydney,Australia,-33.9032,150.9677,CVE-2020-1938
122,honeypot,TRUE,Amazon Technologies Inc.,cloud,,,,,unknown,0,30,1,1,1,0,FALSE,,,,,6870,8562,9707,5243,7545,3512,9972,7425,4148,8328,8725,7592,2986,1611,8725,7592,Sydney,Australia,-33.8591,151.2002,
123,honeypot,TRUE,Amazon Technologies Inc.,cloud,,,,,unknown,0,30,1,1,1,0,FALSE,,,,,2472,4890,3378,5568,2061,3734,3809,6265,4147,6505,3484,5326,3795,3756,3484,5326,Boardman,United States,45.8696,-119.688,
124,honeypot,FALSE,"iiNet Limited
Locked Bag 16
Cloisters Square, WA, 6850",telecom,,,,,unknown,6,30,1,1,1,0,FALSE,,,,,1139,7157,5420,4247,2369,4286,7174,6394,8060,7655,8654,8248,4169,5313,8654,8248,Sydney,Australia,-33.8612,151.1982,
125,honeypot,TRUE,"Choopa, LLC",VPS,Linux 2.6.32,96,Ubuntu,cloud,Linux,0,22,1,1,1,0,FALSE,vultrusercontent.com,45.77.3.180.vultrusercontent.com,"The Constant Company, LLC","Vultr Holdings, LLC",2624,9005,3850,5233,1565,1628,9198,8629,7970,7504,4602,3008,7340,2496,4602,3008,San Jose,United States,37.3387,-121.8914,
126,honeypot,TRUE,"DigitalOcean, LLC",cloud,,,,"self-signed,cloud",unknown,0,24,1,1,1,1,FALSE,,,"DigitalOcean, LLC","DigitalOcean, LLC",7280,8297,9337,7203,1249,4402,5626,9402,5824,5451,6625,5738,2651,3617,6625,5738,New York,United States,40.7214,-74.0052,"CVE-2019-0220,CVE-2014-0117,CVE-2014-0118,CVE-2020-1934,CVE-2014-3581,CVE-2016-0736,CVE-2020-35452,CVE-2015-3185,CVE-2015-3184,CVE-2015-3183,CVE-2018-1312,CVE-2017-9798,CVE-2014-0098,CVE-2022-28330,CVE-2017-15710,CVE-2016-8612,CVE-2014-0226,CVE-2019-0217,CVE-2014-3523,CVE-2022-22721,CVE-2022-22720,CVE-2019-10092,CVE-2013-5704,CVE-2019-17567,CVE-2017-15715,CVE-2013-6438,CVE-2016-2161,CVE-2019-10098,CVE-2022-37436,CVE-2017-7679,CVE-2021-40438,CVE-2022-30556,CVE-2021-34798,CVE-2022-31813,CVE-2022-23943,CVE-2020-1927,CVE-2018-17199,CVE-2017-9788,CVE-2014-8109,CVE-2018-1301,CVE-2018-1302,CVE-2018-1303,CVE-2017-3167,CVE-2016-5387,CVE-2023-25690,CVE-2020-11985,CVE-2015-0228,CVE-2021-44790,CVE-2014-0231,CVE-2021-26690,CVE-2021-26691,CVE-2022-26377,CVE-2016-4975,CVE-2020-13938,CVE-2006-20001,CVE-2018-1283,CVE-2022-29404,CVE-2016-8743,CVE-2021-44224,CVE-2022-22719,CVE-2022-28615,CVE-2022-28614,CVE-2022-36760,CVE-2021-39275"
127,honeypot,TRUE,"DigitalOcean, LLC",cloud,Linux 2.6.32,96,Ubuntu,cloud,Linux,3,29,1,1,1,0,FALSE,,,"DigitalOcean, LLC","DigitalOcean, LLC",1011,6650,6191,6164,3578,3262,5000,6977,3942,3107,9732,4871,4332,5067,9732,4871,Bengaluru,India,12.9833,77.5833,
128,honeypot,TRUE,"Choopa, LLC",VPS,Linux 2.6.32,96,Windows (Build 6.3.9600),cloud,unknown,7,23,1,1,1,0,FALSE,vultrusercontent.com,136.244.110.177.vultrusercontent.com,"The Constant Company, LLC","Vultr Holdings, LLC",3195,8085,7934,4788,1709,3967,6727,4783,7733,8895,7065,9979,5598,5576,7065,9979,New London,United States,41.3452,-72.1088,
129,honeypot,TRUE,Reliable Servers LLC,VPS,Linux 2.6.32,96,,"honeypot,vpn,self-signed,cloud,database",Linux,7,21,1,1,1,0,FALSE,vultrusercontent.com,108.160.132.149.vultrusercontent.com,"The Constant Company, LLC","Vultr Holdings, LLC",3272,6121,5905,7584,4373,7986,7849,3074,2567,1595,3456,4953,7813,7694,3456,4953,Heiwajima,Japan,35.5826,139.7459,
130,honeypot,TRUE,Amazon Technologies Inc.,cloud,,,,cloud,unknown,0,30,1,1,1,0,FALSE,amazonaws.com,ec2-3-106-60-109.ap-southeast-2.compute.amazonaws.com,"Amazon.com, Inc.",Amazon Corporate Services Pty Ltd,6248,4161,4592,4707,3479,5201,6159,8257,3882,1735,6306,5165,8756,7050,6306,5165,Seattle,United States,47.6344,-122.3422,"CVE-2018-20685,CVE-2017-15906,CVE-2021-36368,CVE-2020-14145,CVE-2018-15473,CVE-2020-15778,CVE-2021-41617,CVE-2023-28531,CVE-2018-15919,CVE-2016-20012,CVE-2019-6110,CVE-2019-6111,CVE-2019-6109"
131,honeypot,TRUE,LAN & WAN SOLUTIONS SRL,datacenter,Linux 2.6.32,94,,,Linux,7,26,1,1,1,0,FALSE,,,,,7066,2307,6239,4531,2860,5003,6861,5307,3880,6117,4660,4634,4361,7579,4660,4634,Loreo,Italy,45.0621,12.1881,
132,honeypot,TRUE,Google LLC,cloud,Linux 2.6.32,93,,cloud,Linux,1,26,1,1,1,0,FALSE,googleusercontent.com,172.131.86.34.bc.googleusercontent.com,Google LLC,Google LLC,6623,5734,6649,8254,9024,3525,7050,3434,7668,3279,3600,7348,4351,4819,3600,7348,,United States,37.751,-97.822,
133,honeypot,TRUE,Amazon Technologies Inc.,cloud,Linux 2.6.32,96,,"database,self-signed,medical,doublepulsar,honeypot,vpn,cloud",Linux,5,30,1,1,1,0,FALSE,"example.com,amazonaws.com","ec2-3-112-79-46.ap-northeast-1.compute.amazonaws.com,example.com","Amazon.com, Inc.",Amazon Data Services Japan,3966,3245,6941,7774,4138,1831,6934,9435,4751,2279,3742,3929,2455,6992,3742,3929,Tokyo,Japan,35.685,139.7514,MS17-010
134,honeypot,TRUE,TELUS Communications Inc.,telecom,Linux 4.4,99,,,Linux,5,18,1,1,1,1,FALSE,,,,,6443,4819,8140,8425,6495,2457,3402,5915,2583,7491,7252,8617,5669,2121,7252,8617,,Canada,43.6319,-79.3716,
135,honeypot,TRUE,"PSINet, Inc.",unknown,Linux 4.0,95,,,Linux,7,30,1,1,1,0,FALSE,,,,,3190,2986,6769,3300,1981,4328,4841,6835,2241,6760,3263,9619,7419,7158,3263,9619,,United States,37.751,-97.822,
136,honeypot,TRUE,,unknown,Linux 3.8,92,,,Linux,7,28,1,1,1,0,FALSE,,,,,6805,2937,4742,6110,3827,3570,7568,5403,4059,6645,4828,6951,6359,8078,4828,6951,,Iran,35.6961,51.4231,
137,honeypot,TRUE,Contabo GmbH,VPS,Linux 2.6.32,96,Ubuntu,,Linux,1,27,1,1,1,0,FALSE,contaboserver.net,vmi544299.contaboserver.net,Contabo GmbH,Contabo GmbH,4186,6560,9833,8076,3105,3411,3307,3198,3023,7167,7557,9848,3719,5382,7557,9848,,Germany,51.2993,9.491,
138,honeypot,TRUE,"Huawei Public Cloud Service (Huawei Software Technologies Ltd.Co)
No.2018 Xuegang Road,Bantian street,Longgang District,
Shenzhen,Guangdong Province, 518129 P.R.China",cloud,Linux 2.6.32,96,,"honeypot,self-signed",Linux,0,26,1,1,1,0,FALSE,hwclouds-dns.com,ecs-139-9-248-28.compute.hwclouds-dns.com,Cloud Computing Corporation,Huawei Public Cloud Service (Huawei Software Technologies Ltd.Co),7870,4932,4487,7898,8851,3949,4982,9633,8220,8299,6102,9335,8489,3103,6102,9335,,China,34.7725,113.7266,
139,honeypot,TRUE,Google LLC,cloud,Linux 2.6.32,88,,,Linux,7,30,1,1,1,0,FALSE,,,,,6042,5498,3865,5789,5447,1269,5437,9399,7575,2725,3614,5249,2547,5180,3614,5249,Mountain View,United States,37.4192,-122.0574,
140,honeypot,TRUE,"Choopa, LLC",VPS,,,,"database,self-signed,doublepulsar,honeypot,vpn,cloud",unknown,7,22,1,1,1,0,FALSE,vultrusercontent.com,149.28.63.44.vultrusercontent.com,"The Constant Company, LLC","Vultr Holdings, LLC",6148,1314,4640,3842,7092,4473,9682,8386,8131,8594,4200,4300,5709,6860,4200,4300,Piscataway,United States,40.5516,-74.4637,"CVE-2020-28016,CVE-2010-2024,CVE-2020-28010,CVE-2020-28013,CVE-2020-28012,CVE-2020-28015,CVE-2020-28014,CVE-2020-28017,CVE-2010-2023,CVE-2022-37452,CVE-2022-37451,CVE-2017-1000369,CVE-2011-0017,CVE-2021-27216,CVE-2011-1764,CVE-2020-28024,CVE-2020-28025,CVE-2020-28026,CVE-2020-28020,CVE-2020-28021,CVE-2020-28022,CVE-2020-28023,CVE-2016-1531,MS17-010,CVE-2020-28007,CVE-2016-9963,CVE-2020-28008,CVE-2020-28009,CVE-2020-28011,CVE-2010-4345,CVE-2010-4344,CVE-2018-6789,CVE-2014-2957,CVE-2014-2972,CVE-2019-15846,CVE-2020-8015,CVE-2020-12783"
141,honeypot,TRUE,Amazon Technologies Inc.,cloud,Linux 2.6.32,96,,"database,self-signed,medical,doublepulsar,honeypot,vpn,cloud",Linux,7,26,1,1,1,0,FALSE,"example.com,amazonaws.com","ec2-35-181-146-62.eu-west-3.compute.amazonaws.com,example.com","Amazon.com, Inc.",Amazon Data Services France,2891,8675,4495,9343,4375,3066,9144,3383,6302,3028,5895,5921,1936,2266,5895,5921,Seattle,United States,47.6344,-122.3422,MS17-010
142,honeypot,TRUE,ELMEC INFORMATICA public subnet,ambiguous,Linux 2.6.32,87,,"database,doublepulsar,medical,self-signed,honeypot,vpn",Linux,0,23,1,1,1,0,FALSE,"fastwebnet.it,example.com","example.com,93-51-172-74.ip267.fastwebnet.it",Fastweb SpA,Fastweb SpA,5975,6044,5484,3602,4654,8006,9391,9744,4064,7819,3908,8775,5794,7105,3908,8775,Padova,Italy,45.408,11.8859,"CVE-2020-1938,MS17-010"
143,honeypot,TRUE,Parsons Corporation,ambiguous,Linux 2.6.32,95,,,Linux,7,21,1,1,1,0,FALSE,,,,,6894,8335,6757,4788,1230,4084,7624,3710,4821,2697,6202,6564,4326,6706,6202,6564,,United States,37.751,-97.822,
144,honeypot,TRUE,Microsoft Limited UK,cloud,Linux 2.6.32,88,,,Linux,7,30,1,1,1,0,FALSE,,,,,5136,8723,4412,9212,4028,7983,7930,4946,2126,8193,4318,7516,1544,4743,4318,7516,,United Kingdom,51.4964,-0.1224,
145,honeypot,TRUE,"Deutsche Telekom, Laboratories
10587 Berlin, Ernst-Reuter-Platz 7",telecom,,,,,unknown,6,21,1,1,1,0,FALSE,,,,,1034,8815,9689,6120,8917,4283,5808,4711,5998,6839,9048,7278,5880,1389,9048,7278,,Germany,51.2993,9.491,
146,honeypot,TRUE,HKBN Enterprise Solutions HK Limited,ambiguous,Linux 2.6.32,96,,,Linux,7,21,1,1,1,0,FALSE,,,,,1324,7072,7927,5478,8828,1008,4634,6278,2179,1732,3549,8531,7508,4528,3549,8531,,Hong Kong,22.25,114.1667,
147,honeypot,TRUE,,unknown,,,,,unknown,0,21,1,1,1,0,FALSE,,,,,8040,0,3923,0,8294,0,9049,0,3152,0,8313,0,8616,0,8313,0,Paris,France,48.8628,2.3292,
148,honeypot,TRUE,University of North Florida,edu,Linux 2.6.32 or 3.10,96,,,Linux,7,25,1,1,1,0,FALSE,,,,,7633,4709,6208,6915,7758,5747,4195,8146,6914,5431,3577,3025,6077,5428,3577,3025,Jacksonville,United States,30.2878,-81.4264,
149,honeypot,TRUE,"Beijing Baidu Netcom Science and Technology Co., Ltd.
Baidu Plaza, No.10, Shangdi 10th street,
Haidian District Beijing,100080",cloud,Linux 2.6.32,92,,,Linux,0,25,1,1,1,0,FALSE,,,"Beijing Baidu Netcom Science and Technology Co., Ltd.","Beijing Baidu Netcom Science and Technology Co., Ltd.",8418,0,9229,0,1159,0,4655,0,2586,0,6419,0,7353,0,6419,0,,China,39.9289,116.3883,
150,honeypot,TRUE,"Dinas Komunikasi dan Informatika Kota Medan
Government / Direct member IDNIC
Jl. Sidorukun No.35
Medan 20236
Sumatera Utara, Indonesia",unknown,Linux 2.6.32,93,,,Linux,7,21,1,1,1,0,FALSE,,,,,2122,3895,7427,5501,1383,1522,3949,6607,2412,1402,8049,8577,2859,5168,8049,8577,,Indonesia,-6.175,106.8286,
151,honeypot,TRUE,,unknown,,,,,unknown,6,27,1,1,1,0,FALSE,,,,,8453,4274,7848,9478,8136,4087,9359,8688,2388,2854,3942,5391,1930,6577,3942,5391,Tisnov,Czechia,49.3333,16.5167,
152,honeypot,TRUE,"11 Hanbury St
London, E1 6QR
United Kingdom",VPS,,,,"honeypot,vpn,self-signed,cloud,database",unknown,0,22,1,1,1,0,FALSE,vultrusercontent.com,95.179.196.154.vultrusercontent.com,"The Constant Company, LLC","The Constant Company, LLC",5168,7112,9454,8067,5242,8443,6597,5122,3465,3708,6702,6790,1965,7653,6702,6790,,Netherlands,52.3824,4.8995,"CVE-2020-28016,CVE-2010-2024,CVE-2020-28010,CVE-2020-28013,CVE-2020-28012,CVE-2020-28015,CVE-2020-28014,CVE-2020-28017,CVE-2010-2023,CVE-2022-37452,CVE-2022-37451,CVE-2017-1000369,CVE-2011-0017,CVE-2021-27216,CVE-2011-1764,CVE-2020-28024,CVE-2020-28025,CVE-2020-28026,CVE-2020-28020,CVE-2020-28021,CVE-2020-28022,CVE-2020-28023,CVE-2016-1531,CVE-2020-28007,CVE-2016-9963,CVE-2020-28008,CVE-2020-28009,CVE-2020-28011,CVE-2010-4345,CVE-2010-4344,CVE-2018-6789,CVE-2014-2957,CVE-2014-2972,CVE-2019-15846,CVE-2020-8015,CVE-2020-12783"
153,honeypot,TRUE,"Beijing Baidu Netcom Science and Technology Co., Ltd.
Baidu Plaza, No.10, Shangdi 10th street,
Haidian District Beijing,100080",cloud,Linux 2.6.32 or 3.10,91,,,Linux,0,22,1,1,1,0,FALSE,,,,,6081,0,8497,0,5728,0,4846,0,5704,0,9310,0,4734,0,9310,0,,China,39.9289,116.3883,
154,honeypot,TRUE,netcup GmbH,hosting,Linux 2.6.32,89,,"honeypot,vpn,self-signed,medical,database",Linux,7,24,1,1,1,0,FALSE,"example.com,yourvserver.net","example.com,v22015072921326567.yourvserver.net",netcup GmbH,netcup GmbH,2042,1631,6874,5343,2259,6295,9566,3713,1339,1687,6571,9637,1744,5037,6571,9637,,Germany,51.2993,9.491,
155,honeypot,TRUE,Google LLC,cloud,,,,"honeypot,self-signed,cloud,database",unknown,6,30,1,1,1,0,FALSE,"example.com,googleusercontent.com","84.75.94.34.bc.googleusercontent.com,example.com",Google LLC,Google LLC,7023,8784,6473,9534,6230,6164,5070,9919,3917,3188,4422,4551,8572,1216,4422,4551,,United States,37.751,-97.822,
156,honeypot,TRUE,netcup GmbH,hosting,Linux 2.6.32,89,,"database,doublepulsar,medical,self-signed,honeypot,vpn",Linux,7,23,1,1,1,0,FALSE,"example.com,yourvserver.net","v22015072921326587.yourvserver.net,example.com",netcup GmbH,netcup GmbH,2056,4651,3624,5999,6997,6928,3945,6580,4004,5204,9410,9346,4253,3317,9410,9346,,Germany,51.2993,9.491,MS17-010
157,honeypot,TRUE,,hosting,Linux 2.6.32,89,,"database,doublepulsar,medical,self-signed,honeypot,vpn",Linux,7,23,1,1,1,0,FALSE,example.com,example.com,netcup GmbH,netcup GmbH,4488,8913,5605,4683,5879,4511,4848,3600,3068,2580,8253,7092,5509,4269,8253,7092,,Germany,51.2993,9.491,MS17-010
158,honeypot,TRUE,BITel Leased Line - Customers 1,telecom,Linux 2.6.32,96,,,Linux,7,24,1,1,1,0,FALSE,,,,,4845,7257,3811,3296,6538,1275,3138,5654,7752,6924,6721,7220,6121,7364,6721,7220,Hanover,Germany,52.385,9.7371,
159,honeypot,TRUE,"CHINANET anhui province network
China Telecom
A12,Xin-Jie-Kou-Wai Street
Beijing 100088",telecom,,,,honeypot,unknown,4,22,1,1,1,0,FALSE,,,CHINANET-BACKBONE,CHINANET anhui province network,3565,7131,9565,3882,3951,1291,3607,7541,7896,2832,4859,7175,6923,8831,4859,7175,,China,31.8639,117.2808,
160,honeypot,TRUE,,telecom,Linux 2.6.9 - 2.6.27,89,,"database,doublepulsar,medical,self-signed,honeypot,vpn",Linux,7,27,1,1,1,0,FALSE,"example.com,fhstp.ac.at","example.com,risoc.nwt.fhstp.ac.at",kabelplus GmbH,Fachhochschule St. Poelten GmbH,2338,2260,3211,5894,3461,5612,5898,3469,4125,8009,7061,7948,6104,2221,7061,7948,Maria-Anzbach,Austria,48.1901,15.9315,MS17-010
161,honeypot,TRUE,University Public Corporation Osaka,edu,Linux 4.0,86,,,Linux,0,21,1,1,1,0,FALSE,,,,,1729,4702,9763,4928,2290,2932,9355,3191,1936,8949,5893,5276,1393,5759,5893,5276,Osaka,Japan,34.6864,135.52,
162,honeypot,TRUE,,unknown,Linux 4.4,97,,,Linux,0,27,1,1,1,0,FALSE,,,,,7011,3223,7781,3428,1094,5481,4923,9561,5818,1597,4055,3850,4511,1191,4055,3850,Haarlem,Netherlands,52.3613,4.6464,
163,honeypot,TRUE,Amazon Technologies Inc.,cloud,,,,"cloud,database",unknown,7,27,1,1,1,0,FALSE,amazonaws.com,"ublique-sol-cluster-aurora-serverless.cluster-cxo0pnbjslto.eu-central-1.rds.amazonaws.com,ec2-18-156-110-38.eu-central-1.compute.amazonaws.com,ublique-sol-cluster-aurora-serverless-endpoint.cluster-custom-cxo0pnbjslto.eu-central-1.rds.amazonaws.com,ublique-sol-cluster-aurora-serverless.cluster-ro-cxo0pnbjslto.eu-central-1.rds.amazonaws.com,ublique-sol-cluster-aurora-serverless-2.cxo0pnbjslto.eu-central-1.rds.amazonaws.com","Amazon.com, Inc.",A100 ROW GmbH,3384,4752,3834,6960,1231,1755,7477,7448,5173,5690,5792,9671,5930,1169,5792,9671,,United States,37.751,-97.822,
164,honeypot,TRUE,"Choopa, LLC",VPS,,,,"database,self-signed,doublepulsar,honeypot,vpn,cloud",unknown,7,21,1,1,1,0,FALSE,vultrusercontent.com,45.63.31.149.vultrusercontent.com,"The Constant Company, LLC","Vultr Holdings, LLC",1815,5627,8838,4690,3563,4812,8616,4228,3954,4470,3310,9915,7119,7839,3310,9915,Sydney,Australia,-33.9032,150.9677,"CVE-2020-28016,CVE-2010-2024,CVE-2020-28010,CVE-2020-28013,CVE-2020-28012,CVE-2020-28015,CVE-2020-28014,CVE-2020-28017,CVE-2010-2023,CVE-2022-37452,CVE-2022-37451,CVE-2017-1000369,CVE-2011-0017,CVE-2021-27216,CVE-2011-1764,CVE-2020-28024,CVE-2020-28025,CVE-2020-28026,CVE-2020-28020,CVE-2020-28021,CVE-2020-28022,CVE-2020-28023,CVE-2016-1531,MS17-010,CVE-2020-28007,CVE-2016-9963,CVE-2020-28008,CVE-2020-28009,CVE-2020-28011,CVE-2010-4345,CVE-2010-4344,CVE-2018-6789,CVE-2014-2957,CVE-2014-2972,CVE-2019-15846,CVE-2020-8015,CVE-2020-12783"
165,honeypot,TRUE,,hosting,Linux 2.6.32,89,,,Linux,7,24,1,1,1,0,FALSE,,,netcup GmbH,netcup GmbH,4002,1343,8154,7690,2671,5426,9820,8811,2916,3180,6440,6344,4312,1307,6440,6344,,Germany,51.2993,9.491,
166,honeypot,TRUE,Microsoft Corporation,cloud,Linux 2.6.32,88,Windows,cloud,Linux,7,21,1,1,1,0,FALSE,cloudapp.net,"azuregateway-1ecb006d-3fde-469c-9e54-2963f226ebbe-a65e5ac0603c.gwt.cloudapp.net,1ecb006d-3fde-469c-9e54-2963f226ebbe.gwt.cloudapp.net",Microsoft Corporation,Microsoft Corporation,5898,7494,6177,7214,5439,1062,3685,3723,5475,7373,7190,8101,8238,7884,7190,8101,,United States,37.751,-97.822,
167,honeypot,TRUE,netcup GmbH,hosting,Linux 2.6.32,89,,"honeypot,vpn,self-signed,medical,database",Linux,7,24,1,1,1,0,FALSE,"example.com,yourvserver.net","example.com,v22015072921326578.yourvserver.net",netcup GmbH,netcup GmbH,3705,7866,7098,6728,2121,7534,9194,6622,7709,6486,8344,4097,8790,4840,8344,4097,,Germany,51.2993,9.491,CVE-2020-1938
168,honeypot,TRUE,Please Send Abuse/SPAM complaints To Abuse@012.net.il,telecom,Linux 3.4,93,,,Linux,0,25,1,1,1,0,FALSE,,,Partner Communications Ltd.,Partner Communications Ltd.,8571,4650,3210,4727,3819,3984,9673,9311,5137,2410,9382,6768,3183,1678,9382,6768,Udim,Israel,32.265,34.8455,
169,honeypot,TRUE,Microsoft Corporation,cloud,Linux 2.6.32,88,,,Linux,7,22,1,1,1,0,FALSE,,,,,6186,4942,3709,8888,1605,5068,7025,9642,2565,7521,6200,5777,4831,2936,6200,5777,Pune,India,18.5333,73.8667,
170,honeypot,TRUE,SEDOC DIGITAL GROUP SR,ambiguous,,,,,unknown,7,25,1,1,1,0,FALSE,,,,,1744,8767,9400,7488,1391,4092,8542,6159,7667,3834,3265,9528,3845,8140,3265,9528,"Reggio nell""Emilia",Italy,44.7167,10.6,
171,honeypot,TRUE,,datacenter,Linux 2.6.32,96,,,Linux,3,24,1,1,1,0,FALSE,"transip.net,redowl.nl","misp.redowl.nl,136-144-210-125.colo.transip.net",Signet B.V.,TRANSIP 136 144 192 0,7633,0,6559,0,3705,0,5729,0,3873,0,8261,0,4166,0,8261,0,Eindhoven,Netherlands,51.4514,5.4009,"CVE-2022-37436,CVE-2022-28614,CVE-2022-23943,CVE-2022-26377,CVE-2022-22721,CVE-2022-22720,CVE-2022-29404,CVE-2022-22719,CVE-2022-36760,CVE-2022-31813,CVE-2023-25690,CVE-2006-20001,CVE-2022-28615,CVE-2022-30556,CVE-2022-28330,CVE-2023-27522"
172,honeypot,TRUE,"DigitalOcean, LLC",cloud,Linux 2.6.32,96,,,Linux,0,30,1,1,1,0,FALSE,,,,,8013,8204,7423,3227,7932,1545,3327,5963,9041,8941,8784,6450,6340,5854,8784,6450,,United States,37.751,-97.822,
173,honeypot,TRUE,,unknown,Linux 2.6.32,89,,,Linux,6,21,1,1,1,0,FALSE,,,,,7533,6561,7378,4053,5377,3921,4904,3084,8087,7593,4965,7374,5724,2684,4965,7374,,Germany,51.2993,9.491,
174,honeypot,TRUE,"SAKURA Internet Inc.
Grandfront Osaka Bldg. Tower-A 35F, 4-20, Ofukacho, Kita-ku, Osaka 530-0011 Japan",datacenter,Linux 2.6.32,96,,"honeypot,self-signed",Linux,7,25,1,1,1,0,FALSE,sakura.ne.jp,tk2-206-12972.vs.sakura.ne.jp,SAKURA Internet Inc.,SAKURA Internet Inc.,5432,5477,5356,5522,1853,5688,9167,3269,6753,5032,7813,6087,3835,5229,7813,6087,Osaka,Japan,34.6864,135.52,CVE-2020-1938
175,honeypot,TRUE,,hosting,Linux 2.6.32,89,,"database,doublepulsar,medical,self-signed,honeypot,vpn",Linux,7,22,1,1,1,0,FALSE,example.com,example.com,netcup GmbH,netcup GmbH,3986,5574,3497,5532,6953,3170,5320,3389,6468,3225,3637,5673,6346,5544,3637,5673,,Germany,51.2993,9.491,MS17-010
176,honeypot,TRUE,,hosting,Linux 2.6.32,89,,"database,doublepulsar,medical,self-signed,honeypot,vpn",Linux,7,21,1,1,1,0,FALSE,"example.com,yourvserver.net","example.com,v22015072921326579.yourvserver.net",netcup GmbH,netcup GmbH,4097,3770,6493,7904,6498,6596,4542,9129,3419,7345,3119,6569,5179,5365,3119,6569,,Germany,51.2993,9.491,MS17-010
177,honeypot,TRUE,"KBC Securities Romania SA
Bucuresti",telecom,Linux 2.6.32,93,,"database,doublepulsar,medical,self-signed,honeypot,vpn",Linux,7,21,1,1,1,0,FALSE,example.com,example.com,iNES GROUP SRL,iNES GROUP SRL,2554,2964,3145,8116,4578,5937,4150,5527,4568,3173,5966,8046,4292,2547,5966,8046,Bucharest,Romania,44.418,26.1691,MS17-010
178,honeypot,TRUE,Amazon Technologies Inc.,cloud,Linux 4.0,95,,,Linux,0,22,1,1,1,0,FALSE,,,,,7666,0,7781,0,7093,0,7774,0,3352,0,5046,0,3950,0,5046,0,São Paulo,Brazil,-23.5733,-46.6417,
179,honeypot,TRUE,"Tencent cloud computing (Beijing) Co., Ltd.
Floor 6, Yinke Building,38 Haidian St,
Haidian District Beijing",cloud,,,,,unknown,0,25,0,0,0,0,TRUE,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Beijing,China,39.9288,116.3889,
