ip (hidden）,isHoneypot_new,IsCloud_old,ISP_conclusion,OS_conclusion,OS_old,OS_accuracy,os_Shodan,tags_Shodan,OpenPortNum,hopNum,s7NameOfThePLC,s7PlantIdentification,s7SerialNumberOfModule,s7time5After,s7ResponseTime,IpwhoisNetsDescription,domains_Shodan,hostnames_Shodan,isp_Shodan,org_Shodan,city,country,latitude,longitude,vulns_Shodan,identities
236,ICS,TRUE,telecom,Linux,Linux 3.6,87,,,0,26,PC35xV,,6818,TRUE,,"Deutsche Telekom AG
T-DSL Business static dial-up",,,,,,Germany,51.2993,9.491,,
237,honeypot,TRUE,UoM,Linux,Linux 2.6.32,93,,,1,24,Technodrome,Mouser Factory,88111222,FALSE,0.233499944,University of Maryland,,,,,College Park,United States,38.9807,-76.9369,,
238,ICS,TRUE,telecom,unknown,,,,,1,23,S7300/ET200M station_1,,24567,TRUE,1.075500071,TURKCELL INTERNET,,,,,,Turkey,41.0214,28.9948,,
239,honeypot,TRUE,UoM,Linux,Linux 2.6.32,93,,,1,24,Technodrome,Mouser Factory,88111222,FALSE,0.232749939,University of Maryland,,,,,College Park,United States,38.9807,-76.9369,,
240,honeypot,TRUE,cloud,Linux,Linux 3.11 - 4.1,97,,cloud,3,21,SAAP7-SERVER,,S C-C2UR28922012,TRUE,0.492499948,"DigitalOcean, LLC",,,"DigitalOcean, LLC","DigitalOcean, LLC",Bengaluru,India,12.9833,77.5833,,
241,honeypot,TRUE,UoM,Linux,Linux 2.6.32,93,,,1,25,Technodrome,Mouser Factory,88111222,FALSE,0.232749999,University of Maryland,,,,,College Park,United States,38.9807,-76.9369,,
242,honeypot,TRUE,UoM,Linux,Linux 2.6.32,93,,,1,24,Technodrome,Mouser Factory,88111222,FALSE,0.233249962,University of Maryland,,,,,College Park,United States,38.9807,-76.9369,,
243,honeypot,TRUE,UoM,Linux,Linux 2.6.32,93,,,1,24,Technodrome,Mouser Factory,88111222,FALSE,0.233250022,University of Maryland,,,,,College Park,United States,38.9807,-76.9369,,
244,honeypot,TRUE,UoM,Linux,Linux 2.6.32,93,,,1,23,Technodrome,Mouser Factory,88111222,FALSE,0.234000027,University of Maryland,,,,,College Park,United States,38.9807,-76.9369,,
245,honeypot,TRUE,cloud,Linux,Linux 4.0,95,,,0,30,PRODUCTION S7-1200,,S ZVC5YU6038586,TRUE,,Amazon Technologies Inc.,,,,,Columbus,United States,39.9653,-83.0235,,
246,ICS,TRUE,telecom,Linux,Linux 3.6,89,,,0,24,PC35xV,,5702,TRUE,,"Deutsche Telekom AG
T-DSL Business static dial-up",,,,,,Germany,51.2993,9.491,,
247,honeypot,TRUE,cloud,Linux,Linux 3.11 - 4.1,97,,,3,22,SAAP7-SERVER,,S C-C2UR28922012,TRUE,0.287,"DigitalOcean, LLC",,,,,New York,United States,40.7214,-74.0052,,
248,ICS,TRUE,telecom,unknown,,,,,0,26,,,10980,TRUE,0.666000009,LNAUB658 Aubervilliers Bloc 1,wanadoo.fr,laubervilliers-658-1-7-115.w217-128.abo.wanadoo.fr,Orange S.A.,Orange S.A.,,France,48.8582,2.3387,,
249,ICS,TRUE,telecom,Linux,Linux 3.6,88,,,0,27,PC35xV,,5418,TRUE,0.453749955,"Deutsche Telekom AG
T-DSL Business static dial-up",,,,,Rehna,Germany,53.7788,11.0493,,
250,honeypot,TRUE,UoM,Linux,Linux 2.6.32,93,,,1,25,Technodrome,Mouser Factory,88111222,FALSE,0.232500017,University of Maryland,,,,,College Park,United States,38.9807,-76.9369,,
251,ICS,TRUE,telecom,unknown,,,,,1,25,PC35xV,,7705,TRUE,0.830500007,"Deutsche Telekom AG
T-DSL Business static dial-up",,,,,,Germany,51.2993,9.491,,
252,honeypot,TRUE,UoM,Linux,Linux 2.6.32,93,,,1,24,Technodrome,Mouser Factory,88111222,FALSE,0.233250022,University of Maryland,,,,,College Park,United States,38.9807,-76.9369,,
253,ICS,TRUE,telecom,Linux,Linux 3.6,87,,,0,25,PC35xV,,7530,TRUE,0.409750044,"Deutsche Telekom AG
T-DSL Business static dial-up",,,,,Munich,Germany,48.15,11.5833,,
254,honeypot,TRUE,cloud,Linux,Linux 3.11 - 4.1,97,Ubuntu,cloud,2,25,SAAP7-SERVER,,S C-C2UR28922012,TRUE,0.372500062,"DigitalOcean, LLC",,,"DigitalOcean, LLC","DigitalOcean, LLC",London,United Kingdom,51.5142,-0.0931,,
255,honeypot,TRUE,UoM,Linux,Linux 2.6.32,93,,,1,22,Technodrome,Mouser Factory,88111222,FALSE,0.232749999,University of Maryland,,,,,College Park,United States,38.9807,-76.9369,,
256,honeypot,TRUE,UoM,Linux,Linux 2.6.32,93,,,1,22,Technodrome,Mouser Factory,88111222,FALSE,0.233499944,University of Maryland,,,,,College Park,United States,38.9807,-76.9369,,
257,honeypot,TRUE,cloud,Linux,Linux 3.11 - 4.1,97,Ubuntu,"cloud,database",1,23,SAAP7-SERVER,,S C-C2UR28922012,TRUE,0.530249953,"DigitalOcean, LLC",,,"DigitalOcean, LLC","DigitalOcean, LLC",New York,United States,40.7214,-74.0052,"CVE-2017-12172,CVE-2017-15098",
258,honeypot,TRUE,UoM,Linux,Linux 2.6.32,93,,,1,23,Technodrome,Mouser Factory,88111222,FALSE,0.233250022,University of Maryland,,,,,College Park,United States,38.9807,-76.9369,,
259,honeypot,TRUE,UoM,Linux,Linux 2.6.32,93,,,1,20,Technodrome,Mouser Factory,88111222,FALSE,0.233749986,University of Maryland,,,,,College Park,United States,38.9807,-76.9369,,
260,ICS,TRUE,telecom,unknown,,,,,1,27,S7300/ET200M station_1,,25384,TRUE,0.884999931,TURKCELL INTERNET,,,TURKCELL ILETISIM HIZMETLERI A.S.,TURKCELL INTERNET,,Turkey,41.0214,28.9948,,
261,honeypot,TRUE,cloud,Linux,Linux 3.11 - 4.1,97,,"self-signed,cloud",0,25,SAAP7-SERVER,,S C-C2UR28922012,TRUE,0.376750052,"DigitalOcean, LLC",,,"DigitalOcean, LLC","DigitalOcean, LLC",,United Kingdom,51.4964,-0.1224,,
262,honeypot,TRUE,UoM,Linux,Linux 2.6.32,93,,,1,23,Technodrome,Mouser Factory,88111222,FALSE,0.232749999,University of Maryland,,,,,College Park,United States,38.9807,-76.9369,,
263,honeypot,FALSE,UoM,Linux,Linux 2.6.32,93,,,1,22,Technodrome,Mouser Factory,88111222,FALSE,0.232499957,University of Maryland,,,,,College Park,United States,38.9807,-76.9369,,
264,honeypot,FALSE,UoM,Linux,Linux 2.6.32,93,,,1,25,Technodrome,Mouser Factory,88111222,FALSE,0.233750045,University of Maryland,,,,,College Park,United States,38.9807,-76.9369,,
265,honeypot,FALSE,UoM,Linux,Linux 2.6.32,93,,,1,23,Technodrome,Mouser Factory,88111222,FALSE,0.234499991,University of Maryland,,,,,College Park,United States,38.9807,-76.9369,,
266,honeypot,FALSE,UoM,Linux,Linux 2.6.32,93,,,1,22,Technodrome,Mouser Factory,88111222,FALSE,0.233249962,University of Maryland,,,,,College Park,United States,38.9807,-76.9369,,
267,honeypot,FALSE,UoM,Linux,Linux 2.6.32,93,,,1,23,Technodrome,Mouser Factory,88111222,FALSE,0.234000027,University of Maryland,,,,,College Park,United States,38.9807,-76.9369,,
268,honeypot,TRUE,cloud,Linux,Linux 3.11 - 4.1,97,,,0,23,SAAP7-SERVER,,S C-C2UR28922012,TRUE,0.279000044,"DigitalOcean, LLC",,,,,,United States,37.751,-97.822,,
269,honeypot,TRUE,VPS,unknown,,,,"self-signed,cloud",0,24,VENT,,S C-W8V004032008,TRUE,,Linode,linodeusercontent.com,172-105-22-67.ip.linodeusercontent.com,Akamai Connected Cloud,"Akamai Technologies, Inc.",Absecon,United States,39.4899,-74.4773,,
270,honeypot,FALSE,UoM,Linux,Linux 2.6.32,93,,,1,19,Technodrome,Mouser Factory,88111222,FALSE,0.234749973,University of Maryland,,,,,College Park,United States,38.9807,-76.9369,,
271,honeypot,TRUE,cloud,Linux,Linux 4.4,100,,,0,30,SNAP7-SERVER,,S C-C2UR28922012,TRUE,0.508749962,"101A Platina Building, Plot No. C-59, Bandra Kurla Complex, Bandra East, Mumbai  400051",,,"Alibaba (US) Technology Co., Ltd.","101A Platina Building, Plot No. C-59, Bandra Kurla Complex, Bandra East, Mumbai â€“ 400051",,India,20,77,,
272,honeypot,FALSE,UoM,Linux,Linux 2.6.32,93,,,1,25,Technodrome,Mouser Factory,88111222,FALSE,0.232999921,University of Maryland,,,,,College Park,United States,38.9807,-76.9369,,
273,honeypot,TRUE,cloud,Linux,Linux 3.11 - 4.1,97,,,0,19,SAAP7-SERVER,,S C-C2UR28922012,TRUE,0.305999994,"DigitalOcean, LLC",,,,,New York,United States,40.7214,-74.0052,,
274,honeypot,FALSE,UoM,Linux,Linux 2.6.32,93,,,1,23,Technodrome,Mouser Factory,88111222,FALSE,0.233500004,University of Maryland,,,,,College Park,United States,38.9807,-76.9369,,
275,honeypot,TRUE,cloud,Linux,Linux 4.4,100,,cloud,0,22,SNAP7-SERVER,,S C-C2UR28922012,TRUE,0.412750006,"Westendstrabe 28, 60325 Frankfurt am Main",,,"Alibaba (US) Technology Co., Ltd.",Alibaba.com Singapore E-Commerce Private Limited,Singapore,Singapore,1.2931,103.8558,"CVE-2018-20685,CVE-2017-15906,CVE-2021-36368,CVE-2020-14145,CVE-2018-15473,CVE-2020-15778,CVE-2021-41617,CVE-2018-15919,CVE-2016-20012,CVE-2019-6110,CVE-2019-6111,CVE-2019-6109",
276,honeypot,TRUE,cloud,Linux,Linux 4.4,100,,"self-signed,cloud",1,25,SNAP7-SERVER,,S C-C2UR28922012,TRUE,0.27700001,,,,"Alibaba (US) Technology Co., Ltd.",ALICLOUD-MYS,Kuala Lumpur,Malaysia,3.1667,101.7,,
277,honeypot,TRUE,cloud,Linux,Linux 3.11 - 4.1,97,,cloud,2,25,SAAP7-SERVER,,S C-C2UR28922012,TRUE,0.302250028,"DigitalOcean, LLC",3cx.us,nopocafe.tx.3cx.us,"DigitalOcean, LLC","DigitalOcean, LLC",New York,United States,40.7214,-74.0052,,
278,honeypot,FALSE,UoM,Linux,Linux 2.6.32,93,,,1,25,Technodrome,Mouser Factory,88111222,FALSE,0.232499957,University of Maryland,,,,,College Park,United States,38.9807,-76.9369,,
279,honeypot,FALSE,UoM,Linux,Linux 2.6.32,93,,,1,22,Technodrome,Mouser Factory,88111222,FALSE,0.274249971,University of Maryland,,,,,College Park,United States,38.9807,-76.9369,,
280,honeypot,TRUE,cloud,Linux,Linux 3.10 - 3.12,88,,,2,22,SNAP7-SERVER,,S C-C2UR28922012,TRUE,0.067750037,"Tencent Cloud Computing (Beijing) Co., Ltd
Floor 6, Yinke Building, 38 Haidian St, Haidian District",,,,,,China,39.9289,116.3883,,
281,honeypot,FALSE,UoM,Linux,Linux 2.6.32,93,,,1,23,Technodrome,Mouser Factory,88111222,FALSE,0.280499995,University of Maryland,,,,,College Park,United States,38.9807,-76.9369,,
282,honeypot,FALSE,UoM,Linux,Linux 2.6.32,93,,,1,19,Technodrome,Mouser Factory,88111222,FALSE,0.23300004,University of Maryland,,,,,College Park,United States,38.9807,-76.9369,,
283,honeypot,TRUE,cloud,Linux,Linux 3.11 - 4.1,97,,,1,21,SAAP7-SERVER,,S C-C2UR28922012,TRUE,0.299250066,"DigitalOcean, LLC",,,,,Singapore,Singapore,1.2931,103.8558,,
284,honeypot,FALSE,UoM,Linux,Linux 2.6.32,93,,,1,21,Technodrome,Mouser Factory,88111222,FALSE,0.235999942,University of Maryland,,,,,College Park,United States,38.9807,-76.9369,,
285,honeypot,FALSE,UoM,Linux,Linux 2.6.32 or 3.10,93,,,1,23,Technodrome,Mouser Factory,88111222,FALSE,0.234750032,University of Maryland,,,,,College Park,United States,38.9807,-76.9369,,
286,honeypot,FALSE,UoM,Linux,Linux 2.6.32,93,,,1,23,Technodrome,Mouser Factory,88111222,FALSE,0.233249962,University of Maryland,,,,,College Park,United States,38.9807,-76.9369,,
287,honeypot,FALSE,UoM,Linux,Linux 2.6.32,93,,,1,29,Technodrome,Mouser Factory,88111222,FALSE,0.233249962,University of Maryland,,,,,College Park,United States,38.9807,-76.9369,,
288,honeypot,FALSE,UoM,Linux,Linux 2.6.32 or 3.10,93,,,1,29,Technodrome,Mouser Factory,88111222,FALSE,0.232750058,University of Maryland,,,,,College Park,United States,38.9807,-76.9369,,
289,honeypot,FALSE,UoM,Linux,Linux 2.6.32,93,,,1,29,Technodrome,Mouser Factory,88111222,FALSE,0.234749973,University of Maryland,,,,,College Park,United States,38.9807,-76.9369,,
290,honeypot,FALSE,UoM,Linux,Linux 2.6.32,93,,,1,23,Technodrome,Mouser Factory,88111222,FALSE,0.237749994,University of Maryland,,,,,College Park,United States,38.9807,-76.9369,,
291,honeypot,FALSE,UoM,Linux,Linux 2.6.32,93,,,1,23,Technodrome,Mouser Factory,88111222,FALSE,0.233249962,University of Maryland,,,,,College Park,United States,38.9807,-76.9369,,
292,honeypot,FALSE,UoM,Linux,Linux 2.6.32,93,,,1,23,Technodrome,Mouser Factory,88111222,FALSE,0.233500004,University of Maryland,,,,,College Park,United States,38.9807,-76.9369,,
293,honeypot,FALSE,UoM,Linux,Linux 2.6.32,93,,,1,22,Technodrome,Mouser Factory,88111222,FALSE,0.233500004,University of Maryland,,,,,College Park,United States,38.9807,-76.9369,,
294,honeypot,TRUE,unknown,Linux,Linux 4.4,100,,,0,30,SNAP7-SERVER,,S C-C2UR28922012,TRUE,0.44749999,"21/F, Ciputra World 1 (DBS Tower), JalanProf. DR. Satrio Kav 3-5, Jakarta 12940, Indonesia",,,,,,Indonesia,-6.175,106.8286,,
295,honeypot,FALSE,UoM,Linux,Linux 2.6.32,93,,,1,20,Technodrome,Mouser Factory,88111222,FALSE,0.233500004,University of Maryland,,,,,College Park,United States,38.9807,-76.9369,,
296,honeypot,FALSE,UoM,Linux,Linux 2.6.32,93,,,1,24,Technodrome,Mouser Factory,88111222,FALSE,0.23574996,University of Maryland,,,,,College Park,United States,38.9807,-76.9369,,
297,honeypot,FALSE,UoM,Linux,Linux 2.6.32,93,,,1,23,Technodrome,Mouser Factory,88111222,FALSE,0.23300004,University of Maryland,,,,,College Park,United States,38.9807,-76.9369,,
298,honeypot,FALSE,UoM,Linux,Linux 2.6.32,93,,,1,23,Technodrome,Mouser Factory,88111222,FALSE,0.232749999,University of Maryland,,,,,College Park,United States,38.9807,-76.9369,,
299,honeypot,FALSE,UoM,Linux,Linux 2.6.32 or 3.10,93,,,1,23,Technodrome,Mouser Factory,88111222,FALSE,0.233500004,University of Maryland,,,,,College Park,United States,38.9807,-76.9369,,
300,honeypot,FALSE,UoM,Linux,Linux 2.6.32,93,,,1,23,Technodrome,Mouser Factory,88111222,FALSE,0.233499944,University of Maryland,,,,,College Park,United States,38.9807,-76.9369,,
301,honeypot,TRUE,cloud,Linux,Linux 3.11 - 4.1,97,,,0,30,SAAP7-SERVER,,S C-C2UR28922012,TRUE,0.290750027,"DigitalOcean, LLC",,,,,,United Kingdom,51.4964,-0.1224,,
302,honeypot,TRUE,cloud,Linux,Linux 3.11 - 4.1,97,,"devops,cloud",1,20,SAAP7-SERVER,,S C-C2UR28922012,TRUE,0.399750054,,,,"DigitalOcean, LLC","DigitalOcean, LLC",Frankfurt am Main,Germany,50.1155,8.6842,,
303,honeypot,FALSE,UoM,Linux,Linux 2.6.32,93,,,1,18,Technodrome,Mouser Factory,88111222,FALSE,0.232999921,University of Maryland,,,,,College Park,United States,38.9807,-76.9369,,
304,honeypot,FALSE,UoM,Linux,Linux 2.6.32,93,,,1,19,Technodrome,Mouser Factory,88111222,FALSE,0.232500017,University of Maryland,,,,,College Park,United States,38.9807,-76.9369,,
305,honeypot,TRUE,cloud,Linux,Linux 3.11 - 4.1,97,,"self-signed,cloud,starttls",4,21,SAAP7-SERVER,,S C-C2UR28922012,TRUE,0.273000002,"DigitalOcean, LLC",tagmarshal.com,carolina.tagmarshal.com,"DigitalOcean, LLC","DigitalOcean, LLC",Eugene,United States,44.0486,-123.2197,"CVE-2019-0220,CVE-2014-0117,CVE-2014-0118,CVE-2020-1934,CVE-2014-3581,CVE-2016-0736,CVE-2020-35452,CVE-2015-3185,CVE-2015-3184,CVE-2015-3183,CVE-2018-1312,CVE-2017-9798,CVE-2014-0098,CVE-2022-28330,CVE-2017-15710,CVE-2016-8612,CVE-2014-0226,CVE-2019-0217,CVE-2014-3523,CVE-2022-22721,CVE-2022-22720,CVE-2019-10092,CVE-2013-5704,CVE-2019-17567,CVE-2017-15715,CVE-2013-6438,CVE-2016-2161,CVE-2019-10098,CVE-2022-37436,CVE-2017-7679,CVE-2021-40438,CVE-2022-30556,CVE-2021-34798,CVE-2022-31813,CVE-2022-23943,CVE-2020-1927,CVE-2018-17199,CVE-2017-9788,CVE-2014-8109,CVE-2018-1301,CVE-2018-1302,CVE-2018-1303,CVE-2017-3167,CVE-2016-5387,CVE-2023-25690,CVE-2020-11985,CVE-2015-0228,CVE-2021-44790,CVE-2014-0231,CVE-2021-26690,CVE-2021-26691,CVE-2022-26377,CVE-2016-4975,CVE-2020-13938,CVE-2006-20001,CVE-2018-1283,CVE-2022-29404,CVE-2016-8743,CVE-2021-44224,CVE-2022-22719,CVE-2022-28615,CVE-2022-28614,CVE-2022-36760,CVE-2021-39275",
306,honeypot,FALSE,UoM,Linux,Linux 2.6.32,93,,,1,19,Technodrome,Mouser Factory,88111222,FALSE,0.23300004,University of Maryland,,,,,College Park,United States,38.9807,-76.9369,,
307,honeypot,FALSE,UoM,Linux,Linux 2.6.32,93,,,1,23,Technodrome,Mouser Factory,88111222,FALSE,0.236500025,University of Maryland,,,,,College Park,United States,38.9807,-76.9369,,
308,honeypot,FALSE,UoM,Linux,Linux 2.6.32,93,,,1,20,Technodrome,Mouser Factory,88111222,FALSE,0.232500017,University of Maryland,,,,,College Park,United States,38.9807,-76.9369,,
309,honeypot,FALSE,UoM,Linux,Linux 2.6.32,93,,,1,23,Technodrome,Mouser Factory,88111222,FALSE,0.232500017,University of Maryland,,,,,College Park,United States,38.9807,-76.9369,,
310,honeypot,FALSE,UoM,Linux,Linux 2.6.32 or 3.10,93,,,1,23,Technodrome,Mouser Factory,88111222,FALSE,0.232500017,University of Maryland,,,,,College Park,United States,38.9807,-76.9369,,
311,honeypot,TRUE,cloud,Linux,Linux 3.11 - 4.1,97,Ubuntu,cloud,1,20,SAAP7-SERVER,,S C-C2UR28922012,TRUE,0.355499983,"DigitalOcean, LLC",,,"DigitalOcean, LLC","DigitalOcean, LLC",Toronto,Canada,43.6683,-79.4205,,
312,honeypot,TRUE,cloud,Linux,Linux 3.11 - 4.1,97,,,2,20,SAAP7-SERVER,,S C-C2UR28922012,TRUE,0.304749966,"DigitalOcean, LLC",,,,,New York,United States,40.7214,-74.0052,,
313,honeypot,FALSE,UoM,Linux,Linux 2.6.32,93,,,1,20,Technodrome,Mouser Factory,88111222,FALSE,0.232499957,University of Maryland,,,,,College Park,United States,38.9807,-76.9369,,
314,honeypot,TRUE,cloud,Linux,Linux 2.6.32 or 3.10,95,,,0,20,PRODUCTION S7-300,,S C-U2A203512011,TRUE,,Amazon Technologies Inc.,,,,,Seattle,United States,47.6344,-122.3422,,
315,honeypot,FALSE,UoM,Linux,Linux 2.6.32,93,,,1,20,Technodrome,Mouser Factory,88111222,FALSE,0.232249975,University of Maryland,,,,,College Park,United States,38.9807,-76.9369,,
316,honeypot,TRUE,cloud,Linux,Linux 3.11 - 4.1,97,,cloud,3,20,SAAP7-SERVER,,S C-C2UR28922012,TRUE,0.502000034,"DigitalOcean, LLC",,,"DigitalOcean, LLC","DigitalOcean, LLC",New York,United States,40.7214,-74.0052,,
317,honeypot,TRUE,cloud,Linux,Linux 3.11 - 4.1,97,,,0,30,SAAP7-SERVER,,S C-C2UR28922012,TRUE,0.296999991,"DigitalOcean, LLC",,,,,,United States,37.751,-97.822,,
318,honeypot,FALSE,UoM,Linux,Linux 2.6.32,93,,,1,23,Technodrome,Mouser Factory,88111222,FALSE,0.236750007,University of Maryland,,,,,College Park,United States,38.9807,-76.9369,,
319,honeypot,FALSE,UoM,Linux,Linux 2.6.32,93,,,1,23,Technodrome,Mouser Factory,88111222,FALSE,0.233250022,University of Maryland,,,,,College Park,United States,38.9807,-76.9369,,
320,honeypot,FALSE,UoM,Linux,Linux 2.6.32,93,,,1,21,Technodrome,Mouser Factory,88111222,FALSE,0.232749879,University of Maryland,,,,,College Park,United States,38.9807,-76.9369,,
321,honeypot,FALSE,UoM,Linux,Linux 2.6.32,93,,,1,23,Technodrome,Mouser Factory,88111222,FALSE,0.233750045,University of Maryland,,,,,College Park,United States,38.9807,-76.9369,,
322,honeypot,TRUE,cloud,Linux,Linux 3.11 - 4.1,97,Linux,"self-signed,cloud,database",1,23,SAAP7-SERVER,,S C-C2UR28922012,TRUE,0.493250072,"DigitalOcean, LLC",greybits.in,ba.dev.greybits.in,"DigitalOcean, LLC","DigitalOcean, LLC",Rosemead,United States,34.0616,-118.0818,"CVE-2006-20001,CVE-2022-37436,CVE-2023-27522,CVE-2022-36760,CVE-2023-25690",
323,honeypot,TRUE,cloud,Linux,Linux 3.11 - 4.1,97,Ubuntu,cloud,0,27,SAAP7-SERVER,,S C-C2UR28922012,TRUE,0.292750001,"DigitalOcean, LLC",,,"DigitalOcean, LLC","DigitalOcean, LLC",New York,United States,40.7214,-74.0052,,
324,honeypot,FALSE,UoM,Linux,Linux 2.6.32,93,,,1,23,Technodrome,Mouser Factory,88111222,FALSE,0.233500004,University of Maryland,,,,,College Park,United States,38.9807,-76.9369,,
325,honeypot,FALSE,UoM,Linux,Linux 2.6.32,93,,,1,27,Technodrome,Mouser Factory,88111222,FALSE,0.232500017,University of Maryland,,,,,College Park,United States,38.9807,-76.9369,,
326,honeypot,FALSE,UoM,Linux,Linux 2.6.32,93,,,1,27,Technodrome,Mouser Factory,88111222,FALSE,0.232750058,University of Maryland,,,,,College Park,United States,38.9807,-76.9369,,
327,honeypot,TRUE,cloud,Linux,Linux 3.11 - 4.1,97,,cloud,2,24,SAAP7-SERVER,,S C-C2UR28922012,TRUE,,"DigitalOcean, LLC","namkerala.com,erp.net","dev.hrd.namkerala.com,practice.erp.net","DigitalOcean, LLC","DigitalOcean, LLC",Bengaluru,India,12.9833,77.5833,,
328,honeypot,FALSE,UoM,Linux,Linux 2.6.32,93,,,1,23,Technodrome,Mouser Factory,88111222,FALSE,0.232500017,University of Maryland,,,,,College Park,United States,38.9807,-76.9369,,
329,honeypot,TRUE,cloud,unknown,,,,,1,24,Technodrome,Mouser Factory,88111222,FALSE,0.272500038,Amazon Technologies Inc.,,,,,,United States,37.751,-97.822,,
330,honeypot,TRUE,cloud,unknown,,,,,1,24,Technodrome,Mouser Factory,88111222,FALSE,0.272500038,Amazon Technologies Inc.,,,,,,United States,37.751,-97.822,,
331,honeypot,TRUE,cloud,unknown,,,,,2,25,Technodrome,Mouser Factory,88111222,FALSE,0.401249945,Amazon Technologies Inc.,,,,,,United States,37.751,-97.822,,
332,honeypot,TRUE,cloud,unknown,,,,,2,25,Technodrome,Mouser Factory,88111222,FALSE,0.401249945,Amazon Technologies Inc.,,,,,,United States,37.751,-97.822,,
333,honeypot,FALSE,UoM,Linux,Linux 2.6.32,93,,,1,24,Technodrome,Mouser Factory,88111222,FALSE,0.231750071,University of Maryland,,,,,College Park,United States,38.9807,-76.9369,,
334,honeypot,FALSE,UoM,Linux,Linux 2.6.32,93,,,1,24,Technodrome,Mouser Factory,88111222,FALSE,0.23300004,University of Maryland,,,,,College Park,United States,38.9807,-76.9369,,
335,honeypot,TRUE,cloud,Linux,Linux 2.6.32,94,,,4,24,Technodrome,Mouser Factory,88111222,FALSE,0.218250036,Amazon Technologies Inc.,,,,,Tokyo,Japan,35.685,139.7514,,
336,honeypot,TRUE,cloud,Linux,Linux 2.6.32,94,,,4,24,Technodrome,Mouser Factory,88111222,FALSE,0.218250036,Amazon Technologies Inc.,,,,,Tokyo,Japan,35.685,139.7514,,
337,honeypot,TRUE,cloud,Linux,Linux 2.6.32,94,,,2,30,Technodrome,Mouser Factory,88111222,FALSE,0.223999977,Amazon Technologies Inc.,,,,,Tokyo,Japan,35.685,139.7514,,
338,honeypot,TRUE,cloud,Linux,Linux 2.6.32,94,,,2,30,Technodrome,Mouser Factory,88111222,FALSE,0.223999977,Amazon Technologies Inc.,,,,,Tokyo,Japan,35.685,139.7514,,
339,honeypot,FALSE,UoM,Linux,Linux 2.6.32,93,,,1,23,Technodrome,Mouser Factory,88111222,FALSE,0.234750032,University of Maryland,,,,,College Park,United States,38.9807,-76.9369,,
340,honeypot,FALSE,UoM,Linux,Linux 2.6.32,93,,,1,20,Technodrome,Mouser Factory,88111222,FALSE,0.233499944,University of Maryland,,,,,College Park,United States,38.9807,-76.9369,,
341,honeypot,FALSE,UoM,Linux,Linux 2.6.32,93,,,1,20,Technodrome,Mouser Factory,88111222,FALSE,0.232499957,University of Maryland,,,,,College Park,United States,38.9807,-76.9369,,
342,honeypot,TRUE,cloud,Linux,Linux 4.4,100,,cloud,0,20,SNAP7-SERVER,,S C-C2UR28922012,TRUE,0.269999981,Alibaba.com LLC,,,"Alibaba (US) Technology Co., Ltd.",ALICLOUD-JP,Tokyo,Japan,35.685,139.7514,,
343,honeypot,FALSE,UoM,Linux,Linux 2.6.32,93,,,1,23,Technodrome,Mouser Factory,88111222,FALSE,0.232249975,University of Maryland,,,,,College Park,United States,38.9807,-76.9369,,
344,honeypot,FALSE,UoM,Linux,Linux 2.6.32,93,,,1,27,Technodrome,Mouser Factory,88111222,FALSE,0.233249903,University of Maryland,,,,,College Park,United States,38.9807,-76.9369,,
345,honeypot,TRUE,cloud,Linux,,,,"database,self-signed,cloud,starttls",1,24,SAAP7-SERVER,,S C-C2UR28922012,TRUE,0.368999958,"DigitalOcean, LLC","my3cx.ca,cprapid.com","159-203-20-59.cprapid.com,mail.159-203-20-59.cprapid.com,novexe.my3cx.ca,www.159-203-20-59.cprapid.com","DigitalOcean, LLC","DigitalOcean, LLC",New York,United States,40.7214,-74.0052,"CVE-2018-20685,CVE-2017-15906,CVE-2021-36368,CVE-2020-14145,CVE-2018-15473,CVE-2020-15778,CVE-2021-41617,CVE-2018-15919,CVE-2016-20012,CVE-2019-6110,CVE-2019-6111,CVE-2019-6109",
346,honeypot,FALSE,UoM,Linux,Linux 2.6.32,93,,,1,24,Technodrome,Mouser Factory,88111222,FALSE,0.233749986,University of Maryland,,,,,College Park,United States,38.9807,-76.9369,,
347,honeypot,FALSE,UoM,Linux,Linux 2.6.32,93,,,1,23,Technodrome,Mouser Factory,88111222,FALSE,0.237500012,University of Maryland,,,,,College Park,United States,38.9807,-76.9369,,
348,honeypot,FALSE,UoM,Linux,Linux 2.6.32,93,,,1,23,Technodrome,Mouser Factory,88111222,FALSE,0.233249962,University of Maryland,,,,,College Park,United States,38.9807,-76.9369,,
349,honeypot,FALSE,UoM,Linux,Linux 2.6.32,93,,,1,20,Technodrome,Mouser Factory,88111222,FALSE,0.233250022,University of Maryland,,,,,College Park,United States,38.9807,-76.9369,,
350,honeypot,FALSE,UoM,Linux,Linux 2.6.32,93,,,1,23,Technodrome,Mouser Factory,88111222,FALSE,0.233749986,University of Maryland,,,,,College Park,United States,38.9807,-76.9369,,
